start_datetime,translated_calling_number,translated_called_number,connect_datetime,disconnect_datetime,charged_duration,originating_carrier_id,originating_transit_carrier_id,terminating_carrier_id,terminating_transit_carrier_id,call_direction,service_type,release_cause_number,sip_response
21-08-2019 00:04,0206047729947,0206047729947,21-08-2019 00:04,21-08-2019 01:16,72,6,6,5,5,2,2,18,200
28-08-2019 12:06,9211279939767,9211279939767,28-08-2019 12:06,28-08-2019 13:13,67,0,0,3,3,2,3,16,200
06-08-2019 04:40,2031123677812,2031123677812,06-08-2019 04:40,06-08-2019 05:34,54,2,2,7,7,2,3,17,200
07-08-2019 19:32,4609791104090,4609791104090,07-08-2019 19:32,07-08-2019 19:34,2,8,8,7,7,2,1,17,500
29-08-2019 11:57,3285621542321,3285621542321,29-08-2019 11:57,29-08-2019 12:44,47,3,3,3,3,2,3,16,500
17-08-2019 08:13,9880927429317,9880927429317,17-08-2019 08:13,17-08-2019 09:12,59,7,7,9,9,1,3,16,200
12-08-2019 21:19,7456274932961,7456274932961,12-08-2019 21:19,12-08-2019 21:35,16,9,9,5,5,1,1,16,300
27-08-2019 08:44,9900627886762,9900627886762,27-08-2019 08:44,27-08-2019 09:48,64,7,7,0,0,2,2,16,200
02-08-2019 20:39,6430677251011,6430677251011,02-08-2019 20:39,02-08-2019 20:39,0,6,6,2,2,2,2,18,200
06-08-2019 00:57,9154565405475,9154565405475,06-08-2019 00:57,06-08-2019 01:53,56,3,3,3,3,2,3,16,200
30-08-2019 08:03,8201176595728,8201176595728,30-08-2019 08:03,30-08-2019 08:42,39,1,1,0,0,1,3,16,200
24-08-2019 06:18,1657264252351,1657264252351,24-08-2019 06:18,24-08-2019 07:12,54,8,8,2,2,1,1,18,404
19-08-2019 02:12,9614763213571,9614763213571,19-08-2019 02:12,19-08-2019 02:52,40,2,2,6,6,1,2,18,300
04-08-2019 03:59,5868900512412,5868900512412,04-08-2019 04:00,04-08-2019 04:32,33,2,2,4,4,2,2,16,200
19-08-2019 07:32,9177842136332,9177842136332,19-08-2019 07:32,19-08-2019 08:46,74,4,4,7,7,1,2,18,404
04-08-2019 04:37,6026843211408,6026843211408,04-08-2019 04:37,04-08-2019 05:17,40,6,6,0,0,2,2,16,300
25-08-2019 22:32,4593544934210,4593544934210,25-08-2019 22:32,25-08-2019 22:49,17,9,9,6,6,1,3,16,200
23-08-2019 02:56,0511249668052,0511249668052,23-08-2019 02:56,23-08-2019 04:16,80,0,0,6,6,2,1,17,200
22-08-2019 21:46,3719121630080,3719121630080,22-08-2019 21:46,22-08-2019 22:13,27,8,8,1,1,2,3,18,500
26-08-2019 21:35,5704122716875,5704122716875,26-08-2019 21:35,26-08-2019 22:53,78,8,8,2,2,2,2,16,200
27-08-2019 09:05,8915820281054,8915820281054,27-08-2019 09:05,27-08-2019 09:18,13,2,2,7,7,1,3,16,200
22-08-2019 15:22,0945203392198,0945203392198,22-08-2019 15:22,22-08-2019 16:34,72,9,9,6,6,1,1,16,200
07-08-2019 05:00,9267661004842,9267661004842,07-08-2019 05:00,07-08-2019 05:01,1,4,4,6,6,2,2,16,404
17-08-2019 10:53,9575719838332,9575719838332,17-08-2019 10:53,17-08-2019 12:09,76,3,3,7,7,1,3,18,200
07-08-2019 01:17,7462660246036,7462660246036,07-08-2019 01:17,07-08-2019 02:18,61,5,5,5,5,1,1,18,500
03-08-2019 03:16,6550809974347,6550809974347,03-08-2019 03:16,03-08-2019 03:24,8,9,9,1,1,2,2,18,200
10-08-2019 11:13,0846544001198,0846544001198,10-08-2019 11:13,10-08-2019 12:29,76,5,5,5,5,1,3,17,404
15-08-2019 00:56,8691378154134,8691378154134,15-08-2019 00:56,15-08-2019 01:50,54,4,4,9,9,2,1,16,404
22-08-2019 06:02,6650881457446,6650881457446,22-08-2019 06:02,22-08-2019 07:34,92,3,3,6,6,2,1,16,300
01-08-2019 04:35,4247840162814,4247840162814,01-08-2019 04:35,01-08-2019 05:18,43,2,2,6,6,1,3,18,300
28-08-2019 22:35,2269510768636,2269510768636,28-08-2019 22:35,28-08-2019 22:38,3,6,6,5,5,2,3,18,404
09-08-2019 12:35,2425482111050,2425482111050,09-08-2019 12:35,09-08-2019 12:54,19,2,2,4,4,1,1,18,200
03-08-2019 01:18,1922515282779,1922515282779,03-08-2019 01:18,03-08-2019 01:47,29,2,2,0,0,1,2,16,200
20-08-2019 20:13,3264782200001,3264782200001,20-08-2019 20:13,20-08-2019 21:31,78,6,6,4,4,2,1,16,300
10-08-2019 16:44,0463799015058,0463799015058,10-08-2019 16:44,10-08-2019 17:09,25,6,6,4,4,2,2,18,200
05-08-2019 00:09,6419891204621,6419891204621,05-08-2019 00:09,05-08-2019 00:38,29,7,7,6,6,2,3,16,200
17-08-2019 15:05,8161606121768,8161606121768,17-08-2019 15:05,17-08-2019 15:32,27,9,9,3,3,1,2,18,200
18-08-2019 19:08,6243721442401,6243721442401,18-08-2019 19:08,18-08-2019 20:44,96,8,8,4,4,2,3,16,200
03-08-2019 17:57,3587882648688,3587882648688,03-08-2019 17:57,03-08-2019 18:46,49,2,2,6,6,2,1,18,200
26-08-2019 03:45,5800518855256,5800518855256,26-08-2019 03:45,26-08-2019 04:15,30,5,5,6,6,1,3,18,404
23-08-2019 16:49,5203141874336,5203141874336,23-08-2019 16:49,23-08-2019 17:58,69,3,3,9,9,2,3,17,500
29-08-2019 22:13,1236535715634,1236535715634,29-08-2019 22:13,29-08-2019 23:18,65,9,9,5,5,1,3,17,300
16-08-2019 19:13,6308946733932,6308946733932,16-08-2019 19:13,16-08-2019 19:45,32,8,8,0,0,2,3,16,200
10-08-2019 22:30,9110573608108,9110573608108,10-08-2019 22:30,10-08-2019 23:47,77,5,5,7,7,2,2,16,200
07-08-2019 03:40,3297371171580,3297371171580,07-08-2019 03:40,07-08-2019 04:31,51,1,1,5,5,2,2,18,200
23-08-2019 00:44,7579563746896,7579563746896,23-08-2019 00:44,23-08-2019 01:15,31,7,7,5,5,1,3,18,200
09-08-2019 09:35,2406094324793,2406094324793,09-08-2019 09:35,09-08-2019 10:03,28,5,5,0,0,1,1,16,300
08-08-2019 12:47,8095462002713,8095462002713,08-08-2019 12:47,08-08-2019 14:01,74,5,5,5,5,1,2,18,500
05-08-2019 18:32,8501920888468,8501920888468,05-08-2019 18:32,05-08-2019 19:02,30,5,5,3,3,1,2,17,200
11-08-2019 03:54,5899935788361,5899935788361,11-08-2019 03:54,11-08-2019 05:27,93,3,3,5,5,1,2,16,404
27-08-2019 14:22,8457751091567,8457751091567,27-08-2019 14:22,27-08-2019 14:28,6,3,3,6,6,2,1,17,500
04-08-2019 12:27,1461204335569,1461204335569,04-08-2019 12:27,04-08-2019 14:02,95,1,1,9,9,1,2,17,200
12-08-2019 16:39,9127401653799,9127401653799,12-08-2019 16:39,12-08-2019 17:01,22,0,0,1,1,2,3,16,300
03-08-2019 10:22,3403136043997,3403136043997,03-08-2019 10:22,03-08-2019 10:36,14,7,7,9,9,2,3,16,500
01-08-2019 18:30,4707548071029,4707548071029,01-08-2019 18:30,01-08-2019 19:43,73,3,3,6,6,1,2,17,300
15-08-2019 14:13,7087024832144,7087024832144,15-08-2019 14:13,15-08-2019 14:20,7,1,1,3,3,2,3,17,300
15-08-2019 21:41,5227814552274,5227814552274,15-08-2019 21:41,15-08-2019 21:52,11,6,6,8,8,2,1,18,300
22-08-2019 09:03,9540937563777,9540937563777,22-08-2019 09:03,22-08-2019 10:09,66,3,3,8,8,1,1,16,200
04-08-2019 02:30,3882736588866,3882736588866,04-08-2019 02:30,04-08-2019 03:15,45,3,3,5,5,2,3,16,404
08-08-2019 16:35,7359758400593,7359758400593,08-08-2019 16:35,08-08-2019 17:26,51,8,8,2,2,2,3,16,300
20-08-2019 04:36,8018086855186,8018086855186,20-08-2019 04:36,20-08-2019 05:36,60,6,6,4,4,1,3,16,500
06-08-2019 23:12,4084541105588,4084541105588,06-08-2019 23:12,07-08-2019 00:23,71,7,7,5,5,1,3,16,500
26-08-2019 22:10,3183392049431,3183392049431,26-08-2019 22:10,26-08-2019 22:48,38,1,1,7,7,2,3,16,200
