start_datetime,translated_calling_number,translated_called_number,connect_datetime,disconnect_datetime,charged_duration,originating_carrier_id,originating_transit_carrier_id,terminating_carrier_id,terminating_transit_carrier_id,call_direction
2020-03-25 21:45:22,0915769959961,0915769959961,2020-03-25 21:45:23,2020-03-25 22:50:22,65,2,2,2,2,1
2020-03-13 08:35:52,5481527192903,5481527192903,2020-03-13 08:35:53,2020-03-13 09:53:52,78,8,8,1,1,2
2020-03-24 16:24:50,3039750619166,3039750619166,2020-03-24 16:24:51,2020-03-24 17:35:50,71,7,7,8,8,1
2020-03-02 19:44:42,8713738579285,8713738579285,2020-03-02 19:44:43,2020-03-02 20:20:42,36,8,8,4,4,1
2020-03-10 14:34:38,1464049801770,1464049801770,2020-03-10 14:34:39,2020-03-10 14:45:38,11,5,5,3,3,2
2020-03-21 14:21:12,1419850128556,1419850128556,2020-03-21 14:21:13,2020-03-21 14:39:12,18,8,8,1,1,2
2020-03-12 11:32:17,4800188092583,4800188092583,2020-03-12 11:32:18,2020-03-12 12:31:17,59,6,6,7,7,2
2020-03-10 12:09:50,8344414222528,8344414222528,2020-03-10 12:09:51,2020-03-10 12:29:50,20,5,5,8,8,1
2020-03-09 21:36:43,1855969734804,1855969734804,2020-03-09 21:36:44,2020-03-09 23:07:43,91,1,1,3,3,1
2020-03-23 17:13:53,6996676984602,6996676984602,2020-03-23 17:13:54,2020-03-23 17:25:53,12,7,7,8,8,2
2020-03-03 16:46:57,4459193827083,4459193827083,2020-03-03 16:46:58,2020-03-03 17:57:57,71,3,3,6,6,2
2020-03-13 00:12:21,3194256363739,3194256363739,2020-03-13 00:12:22,2020-03-13 01:51:21,99,0,0,0,0,2
2020-03-12 22:23:59,4010456344800,4010456344800,2020-03-12 22:24:00,2020-03-12 23:33:59,70,8,8,7,7,1
2020-03-04 21:13:26,3585901963033,3585901963033,2020-03-04 21:13:27,2020-03-04 22:31:26,78,9,9,0,0,1
2020-03-01 22:34:50,5022350235369,5022350235369,2020-03-01 22:34:51,2020-03-01 22:39:50,5,8,8,1,1,1
